detid,Unnamed: 0_x,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage,Unnamed: 0_y,type,location_desc,lat,lon
4060012,122,2023-12-05T18:00:00.000+01:00,72,anyVehicle,46.8,carOrLightVehicle,5.0,183.0,Doppelschleife,Olof Palme Str / bei SB Mast 16,48.135986,11.690265
4061011,123,2023-12-05T18:00:00.000+01:00,42,anyVehicle,24.84,carOrLightVehicle,7.0,184.0,Doppelschleife,Olof Palme Str / bei SB Mast 19,48.135017,11.690295
4061012,124,2023-12-05T18:00:00.000+01:00,174,anyVehicle,27.36,carOrLightVehicle,24.0,185.0,Doppelschleife,Olof Palme Str / bei SB Mast 19,48.13502,11.690332
4063011,125,2023-12-05T18:00:00.000+01:00,83,anyVehicle,37.44,carOrLightVehicle,7.0,188.0,Doppelschleife,Willy Brandt Allee / bei SB Mast 8,48.133415,11.692522
4063012,126,2023-12-05T18:00:00.000+01:00,69,anyVehicle,36.0,carOrLightVehicle,7.0,189.0,Doppelschleife,Willy Brandt Allee / bei SB Mast 8,48.133457,11.692511
4066011,127,2023-12-05T18:00:00.000+01:00,24,anyVehicle,43.92,carOrLightVehicle,2.0,190.0,Doppelschleife,Willy Brandt Allee / bei SB Mast 35,48.133636,11.702661
4066012,128,2023-12-05T18:00:00.000+01:00,48,anyVehicle,47.16,carOrLightVehicle,3.0,191.0,Doppelschleife,Willy Brandt Allee / bei SB Mast 35,48.133602,11.702692
4070011,129,2023-12-05T18:00:00.000+01:00,38,anyVehicle,50.4,carOrLightVehicle,3.0,192.0,Doppelschleife,De Gasperi Bogen bei Mast 37,48.134617,11.714044
4070012,130,2023-12-05T18:00:00.000+01:00,47,anyVehicle,52.92,carOrLightVehicle,3.0,193.0,Doppelschleife,De Gasperi Bogen bei Mast 37,48.134674,11.714001
4071011,131,2023-12-05T18:00:00.000+01:00,79,anyVehicle,52.92,carOrLightVehicle,5.0,194.0,Doppelschleife,De Gasperi Bogen bei Mast 52,48.136925,11.71517
4071012,132,2023-12-05T18:00:00.000+01:00,29,anyVehicle,54.72,carOrLightVehicle,1.0,195.0,Doppelschleife,De Gasperi Bogen bei Mast 52,48.13691,11.715149
4072011,133,2023-12-05T18:00:00.000+01:00,87,anyVehicle,42.84,carOrLightVehicle,7.0,196.0,Doppelschleife,An der Point Richtung Stadtgrenze,48.1421,11.685859
4072012,134,2023-12-05T18:00:00.000+01:00,124,anyVehicle,42.12,carOrLightVehicle,10.0,197.0,Doppelschleife,An der Point Richtung Stadtgrenze,48.142128,11.685913
4073011,135,2023-12-05T18:00:00.000+01:00,2,anyVehicle,29.88,carOrLightVehicle,0.0,198.0,Doppelschleife,Riemer Str / bei SB Mast ?,48.141434,11.687608
4073012,136,2023-12-05T18:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0,199.0,Doppelschleife,Riemer Str / bei SB Mast ?,48.141464,11.687575
4075011,137,2023-12-05T18:00:00.000+01:00,59,anyVehicle,33.84,carOrLightVehicle,6.0,202.0,Doppelschleife,Riemer Str. / stadteinwÃ¤rts bei SB Mast 98,48.14113,11.686138
4077011,138,2023-12-05T18:00:00.000+01:00,23,anyVehicle,51.12,carOrLightVehicle,2.0,203.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 11,48.139988,11.691599
