,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
175,4104012,2024-03-07T20:05:00.000+01:00,197,anyVehicle,0,,0
176,4105011,2024-03-07T20:05:00.000+01:00,181,anyVehicle,0,,0
177,4105012,2024-03-07T20:05:00.000+01:00,229,anyVehicle,0,,0
178,4106011,2024-03-07T20:05:00.000+01:00,114,anyVehicle,0,,0
179,4106021,2024-03-07T20:05:00.000+01:00,132,anyVehicle,0,,0
180,4107011,2024-03-07T20:05:00.000+01:00,118,anyVehicle,0,,0
181,4107012,2024-03-07T20:05:00.000+01:00,77,anyVehicle,0,,0
182,4107021,2024-03-07T20:05:00.000+01:00,155,anyVehicle,0,,0
183,4107022,2024-03-07T20:05:00.000+01:00,128,anyVehicle,0,,0
184,4108011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
185,4108012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
186,4108021,2024-03-07T20:05:00.000+01:00,1,anyVehicle,0,,0
187,4108022,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
188,4110011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
189,4110012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
190,4110021,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
191,4110022,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
192,4111011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
193,4111012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
194,4111013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
195,4111014,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
196,4112011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
197,4112012,2024-03-07T20:05:00.000+01:00,41,anyVehicle,0,,0
198,4115011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
199,4115012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
200,4118011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
201,4118012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
202,4118013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
203,4118014,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
204,4119011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
205,4119012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
206,4119013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
207,4119014,2024-03-07T20:05:00.000+01:00,110,anyVehicle,0,,0
208,4120011,2024-03-07T20:05:00.000+01:00,88,anyVehicle,0,,0
209,4120021,2024-03-07T20:05:00.000+01:00,307,anyVehicle,0,,0
210,4120022,2024-03-07T20:05:00.000+01:00,230,anyVehicle,0,,0
211,4120031,2024-03-07T20:05:00.000+01:00,274,anyVehicle,0,,0
212,4120041,2024-03-07T20:05:00.000+01:00,50,anyVehicle,0,,0
213,4121011,2024-03-07T20:05:00.000+01:00,239,anyVehicle,0,,0
214,4121012,2024-03-07T20:05:00.000+01:00,405,anyVehicle,0,,0
215,4121021,2024-03-07T20:05:00.000+01:00,179,anyVehicle,0,,0
216,4121022,2024-03-07T20:05:00.000+01:00,150,anyVehicle,0,,0
217,4122011,2024-03-07T20:05:00.000+01:00,98,anyVehicle,0,,0
218,4123011,2024-03-07T20:05:00.000+01:00,73,anyVehicle,0,,0
219,4123012,2024-03-07T20:05:00.000+01:00,199,anyVehicle,0,,0
220,4123013,2024-03-07T20:05:00.000+01:00,173,anyVehicle,0,,0
221,4123014,2024-03-07T20:05:00.000+01:00,153,anyVehicle,0,,0
222,4123021,2024-03-07T20:05:00.000+01:00,240,anyVehicle,0,,0
223,4123022,2024-03-07T20:05:00.000+01:00,229,anyVehicle,0,,0
224,4123023,2024-03-07T20:05:00.000+01:00,195,anyVehicle,0,,0
225,4124011,2024-03-07T20:05:00.000+01:00,74,anyVehicle,0,,0
226,4124021,2024-03-07T20:05:00.000+01:00,211,anyVehicle,0,,0
227,4124022,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
228,4124031,2024-03-07T20:05:00.000+01:00,144,anyVehicle,0,,0
229,4125011,2024-03-07T20:05:00.000+01:00,112,anyVehicle,0,,0
230,4125021,2024-03-07T20:05:00.000+01:00,154,anyVehicle,0,,0
231,4125031,2024-03-07T20:05:00.000+01:00,267,anyVehicle,0,,0
232,4126011,2024-03-07T20:05:00.000+01:00,179,anyVehicle,0,,0
233,4126012,2024-03-07T20:05:00.000+01:00,75,anyVehicle,0,,0
234,4126021,2024-03-07T20:05:00.000+01:00,208,anyVehicle,0,,0
235,4126022,2024-03-07T20:05:00.000+01:00,179,anyVehicle,0,,0
236,4126031,2024-03-07T20:05:00.000+01:00,79,anyVehicle,0,,0
237,4127011,2024-03-07T20:05:00.000+01:00,21,anyVehicle,0,,0
238,4127021,2024-03-07T20:05:00.000+01:00,327,anyVehicle,0,,0
239,4127022,2024-03-07T20:05:00.000+01:00,258,anyVehicle,0,,0
240,4127031,2024-03-07T20:05:00.000+01:00,276,anyVehicle,0,,0
241,4127032,2024-03-07T20:05:00.000+01:00,276,anyVehicle,0,,0
242,4127041,2024-03-07T20:05:00.000+01:00,39,anyVehicle,0,,0
243,4128011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
244,4128021,2024-03-07T20:05:00.000+01:00,115,anyVehicle,0,,0
245,4129011,2024-03-07T20:05:00.000+01:00,67,anyVehicle,0,,0
246,4129012,2024-03-07T20:05:00.000+01:00,86,anyVehicle,0,,0
247,4129021,2024-03-07T20:05:00.000+01:00,65,anyVehicle,0,,0
248,4129022,2024-03-07T20:05:00.000+01:00,63,anyVehicle,0,,0
249,4130011,2024-03-07T20:05:00.000+01:00,107,anyVehicle,0,,0
250,4130021,2024-03-07T20:05:00.000+01:00,69,anyVehicle,0,,0
251,4131011,2024-03-07T20:05:00.000+01:00,112,anyVehicle,0,,0
252,4131012,2024-03-07T20:05:00.000+01:00,46,anyVehicle,0,,0
253,4131021,2024-03-07T20:05:00.000+01:00,116,anyVehicle,0,,0
254,4131022,2024-03-07T20:05:00.000+01:00,39,anyVehicle,0,,0
255,4132011,2024-03-07T20:05:00.000+01:00,207,anyVehicle,0,,0
256,4132012,2024-03-07T20:05:00.000+01:00,202,anyVehicle,0,,0
257,4132013,2024-03-07T20:05:00.000+01:00,128,anyVehicle,0,,0
258,4132014,2024-03-07T20:05:00.000+01:00,81,anyVehicle,0,,0
259,4132021,2024-03-07T20:05:00.000+01:00,62,anyVehicle,0,,0
260,4132022,2024-03-07T20:05:00.000+01:00,169,anyVehicle,0,,0
