,detid,LZANR,NAME,DET_IND,DET_NAM,dtctr_t,dtctr_l,geometry,lon,lat
246,4109021,,,,,,,11.479133 48.164185,11.479133,48.164185
247,4109022,,,,,,,11.479131 48.16416,11.479131,48.16416
248,4110011,,,,,Doppelschleife,lane1,11.480659 48.14508,11.480659,48.14508
249,4110012,,,,,Doppelschleife,lane2,11.48066 48.145107,11.48066,48.145107
250,4110021,,,,,Doppelschleife,lane1,11.480662 48.145172,11.480662,48.145172
251,4110022,,,,,Doppelschleife,lane2,11.48066 48.145138,11.48066,48.145138
252,4111011,,,,,Doppelschleife,lane1,11.549463 48.190823,11.549463,48.190823
253,4111012,,,,,Doppelschleife,lane2,11.54941 48.19081,11.54941,48.19081
254,4111013,,,,,Doppelschleife,lane1,11.549313 48.19079,11.549313,48.19079
255,4111014,,,,,Doppelschleife,lane2,11.549351 48.190792,11.549351,48.190792
256,4112011,,,,,Doppelschleife,lane1,11.542554 48.201103,11.542554,48.201103
257,4112012,,,,,Doppelschleife,lane1,11.542524 48.201077,11.542524,48.201077
258,4113011,,,,,,,11.553008 48.154755,11.553008,48.154755
259,4113012,,,,,,,11.553045 48.154774,11.553045,48.154774
260,4113013,,,,,,,11.5532 48.154858,11.5532,48.154858
261,4113014,,,,,,,11.55317 48.15484,11.55317,48.15484
262,4114011,,,,,,,11.535716 48.167767,11.535716,48.167767
263,4114012,,,,,,,11.535748 48.16778,11.535748,48.16778
264,4114013,,,,,,,11.536025 48.167946,11.536025,48.167946
265,4114014,,,,,,,11.535995 48.167927,11.535995,48.167927
266,4115011,,,,,Doppelschleife,lane1,11.593642 48.16963,11.593642,48.16963
267,4115012,,,,,Doppelschleife,lane2,11.593607 48.16964,11.593607,48.16964
268,4115021,,,,,Doppelschleife,lane1,11.593492 48.1697,11.593492,48.1697
269,4115022,,,,,Doppelschleife,lane2,11.59354 48.16968,11.59354,48.16968
270,4116011,,,,,,,11.566629 48.187134,11.566629,48.187134
271,4116012,,,,,,,11.566619 48.18717,11.566619,48.18717
272,4116021,,,,,,,11.565476 48.187187,11.565476,48.187187
273,4116022,,,,,,,11.565476 48.187153,11.565476,48.187153
274,4118011,,,,,Doppelschleife,lane1,11.468605 48.177387,11.468605,48.177387
275,4118012,,,,,Doppelschleife,lane2,11.468605 48.17742,11.468605,48.17742
276,4118013,,,,,Doppelschleife,lane1,11.467776 48.177536,11.467776,48.177536
277,4118014,,,,,Doppelschleife,lane2,11.467772 48.177505,11.467772,48.177505
278,4119011,,,,,Einfachschleife,lane1,11.584125 48.15641,11.584125,48.15641
279,4119012,,,,,Einfachschleife,lane2,11.584085 48.156414,11.584085,48.156414
280,4119013,,,,,Einfachschleife,lane1,11.583993 48.15643,11.583993,48.15643
281,4119014,,,,,Einfachschleife,lane2,11.584023 48.156425,11.584023,48.156425
282,4128011,,,,,Doppelschleife,lane1,11.421737 48.142487,11.421737,48.142487
283,4128021,,,,,Doppelschleife,lane1,11.421715 48.142567,11.421715,48.142567
284,4129011,,,,,Doppelschleife,lane1,11.70677 48.111893,11.70677,48.111893
285,4129012,,,,,Doppelschleife,lane2,11.70678 48.111958,11.70678,48.111958
286,4129021,,,,,Doppelschleife,lane1,11.706877 48.11206,11.706877,48.11206
287,4129022,,,,,Doppelschleife,lane2,11.706844 48.112007,11.706844,48.112007
288,4130011,,,,,Doppelschleife,lane1,11.672534 48.08668,11.672534,48.08668
289,4130021,,,,,Doppelschleife,lane1,11.67262 48.08675,11.67262,48.08675
290,4131011,,,,,Doppelschleife,lane1,11.640701 48.105797,11.640701,48.105797
291,4131012,,,,,Doppelschleife,lane2,11.640701 48.105846,11.640701,48.105846
292,4131021,,,,,Doppelschleife,lane1,11.640948 48.105934,11.640948,48.105934
293,4131022,,,,,Doppelschleife,lane2,11.640948 48.105904,11.640948,48.105904
294,4132011,,,,,Doppelschleife,lane1,11.543359 48.17603,11.543359,48.17603
295,4132012,,,,,Doppelschleife,lane2,11.543326 48.17611,11.543326,48.17611
