,detid,type,location_desc,lat,lon
224,4099011,Doppelschleife,Prinzregenten - Oettingenstr. W - O 20m Ã¶stlich der Ã¶stlichen RSk Oettingenstr.,48.142212,11.592404
225,4099012,Doppelschleife,Prinzregenten - Oettingenstr. W - O 20m Ã¶stlich der Ã¶stlichen RSk Oettingenstr.,48.142235,11.592414
226,4099013,Doppelschleife,Prinzregenten - Oettingenstr. W - O 20m Ã¶stlich der Ã¶stlichen RSk Oettingenstr.,48.14226,11.592422
227,4100011,Doppelschleife,Innsbrucker Ring Richtung S - N Block 7,48.129597,11.615408
228,4100012,Doppelschleife,Innsbrucker Ring Richtung S - N Block 7,48.129597,11.615368
229,4100021,Doppelschleife,Innsbrucker Ring Richtung N - S Block 7,48.129597,11.615207
230,4100022,Doppelschleife,Innsbrucker Ring Richtung N - S Block 7,48.129597,11.615274
231,4100031,Doppelschleife,Innsbrucker Ring N - S Ausfahrt,48.12965,11.615019
232,4100032,Doppelschleife,Innsbrucker Ring N - S Ausfahrt,48.129642,11.615059
233,4101011,Doppelschleife,Richard-Strauss-Tunnel S - N Block 1,48.136684,11.61506
234,4101012,Doppelschleife,Richard-Strauss-Tunnel S - N Block 1,48.136684,11.61502
235,4102011,Doppelschleife,Richard-Strauss-Tunnel S - N Block 65,48.142857,11.615551
236,4102012,Doppelschleife,Richard-Strauss-Tunnel S - N Block 65,48.142857,11.615551
237,4102013,Doppelschleife,Richard-Strauss-Tunnel S - N Block 65,48.142857,11.615551
238,4102021,Doppelschleife,Richard-Strauss-Tunnel N - S Block 65,48.142845,11.615323
239,4102022,Doppelschleife,Richard-Strauss-Tunnel N - S Block 65,48.142845,11.615323
240,4103011,Doppelschleife,"Richard-Strauss-Tunnel, N - S Block 123",48.150932,11.615827
241,4103012,Doppelschleife,"Richard-Strauss-Tunnel, N - S Block 123",48.150932,11.615856
242,4103013,Doppelschleife,"Richard-Strauss-Tunnel, N - S Block 123",48.150936,11.61588
243,4104011,Doppelschleife,Effner Tunnel S - N Block 1,48.152378,11.614755
244,4104012,Doppelschleife,Effner Tunnel S - N Block 1,48.15236,11.614728
245,4105011,Doppelschleife,Effner Tunnel N - S Block 9,48.152805,11.613877
246,4105012,Doppelschleife,Effner Tunnel N - S Block 9,48.152813,11.613918
247,4106011,Doppelschleife,"Richard-Strauss-Tunnel, Seitenarm BAB A94, O - W, Block S09",48.137325,11.618105
248,4106021,Doppelschleife,"Richard-Strauss-Tunnel, Seitenarm, W - O,   Block S09",48.137074,11.618067
249,4107011,Doppelschleife,Dachauer Str. B 304   Dachauerstr. einwÃ¤rts.20m v.BrÃ¼cke,48.199066,11.494017
250,4107012,Doppelschleife,Dachauer Str. B 304   Dachauerstr. einwÃ¤rts.20m v.BrÃ¼cke,48.199047,11.493968
251,4107021,Doppelschleife,Dachauer Str. B 304   Dachauerstr. auswÃ¤rts .20m n.BrÃ¼cke,,
252,4107022,Doppelschleife,Dachauer Str. B 304   Dachauerstr. auswÃ¤rts .20m n.BrÃ¼cke,,
253,4108011,Doppelschleife,"Freisinger Landstr., nÃ¶rdl. der Heidemannstr.",48.195847,11.624235
254,4108012,Doppelschleife,"Freisinger Landstr., nÃ¶rdl. der Heidemannstr.",48.195827,11.624289
255,4108021,Doppelschleife,"Freisinger Landstr., nÃ¶rdl. der Heidemannstr.",48.196255,11.6247425
256,4108022,Doppelschleife,"Freisinger Landstr., nÃ¶rdl. der Heidemannstr.",48.196262,11.624704
257,4109011,Doppelschleife,Verdistr. - Bauseweinallee (W - O),48.164276,11.4766865
258,4109012,Doppelschleife,Verdistr. - Bauseweinallee (W - O),48.1643,11.476692
259,4109021,Doppelschleife,Verdistr. - Bauseweinallee (O - W),48.164185,11.479133
260,4109022,Doppelschleife,Verdistr. - Bauseweinallee (O - W),48.16416,11.479131
261,4110011,Doppelschleife,"Landsberger Str., westl. Lohensteinstr. (stadteinwÃ¤rts)",48.14508,11.480659
262,4110012,Doppelschleife,"Landsberger Str., westl. Lohensteinstr. (stadteinwÃ¤rts)",48.145107,11.4806595
263,4110021,Doppelschleife,"Landsberger Str., westl. Lohensteinstr. (stadtauswÃ¤rts)",48.145172,11.480662
264,4110022,Doppelschleife,"Landsberger Str., westl. Lohensteinstr. (stadtauswÃ¤rts)",48.145138,11.4806595
265,4111011,Doppelschleife,"Lerchenauer Str. , S-N,  85m v. Wilhelmine-Reichard-Str.",48.190823,11.549463
266,4111012,Doppelschleife,"Lerchenauer Str. , S-N,  85m v. Wilhelmine-Reichard-Str.",48.19081,11.54941
