,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
251,4131011,2023-11-30T19:00:00.000+01:00,151,anyVehicle,48.24,carOrLightVehicle,6.0
252,4131012,2023-11-30T19:00:00.000+01:00,99,anyVehicle,57.24,carOrLightVehicle,3.0
253,4131021,2023-11-30T19:00:00.000+01:00,119,anyVehicle,48.96,carOrLightVehicle,5.0
254,4131022,2023-11-30T19:00:00.000+01:00,75,anyVehicle,54.36,carOrLightVehicle,3.0
255,4132011,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
256,4132012,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
257,4132013,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
258,4132014,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
259,4132021,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
260,4132022,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
261,4132023,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
262,4132024,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
263,4132025,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
